dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ds-1190-T/Short/short,toto_2.0_1b,6.808924505700513e-08,6.808924505700513e-08,0.0001414811393866,0.0013494340075113,0.0024255658189455,0.0024208000456018,0.0208937219452212,0.0002609391596847,0.0062845392198522,0.0034074754069842,0.0032001938127671,Infrastructure,2
ds-1190-T/Short/medium,toto_2.0_1b,2.464256643482562e-07,2.464256643482562e-07,0.0002622949890792,0.002823873681761,0.0044968103369077,0.0044748188190968,0.0333452079916988,0.000496412796318,0.0119557600707802,0.0063171940378233,0.0048718662118792,Infrastructure,2
ds-1190-T/Short/long,toto_2.0_1b,1.849521326135706,1.849521326135706,0.1076325239958586,1.7382187460889302,0.0082836027498598,0.0144957659399295,69.49636590669397,1.3599710754776022,9.169982177246602,0.7257421459404751,0.7256134221008818,Infrastructure,2
ds-1191-T/Short/short,toto_2.0_1b,6.808924505700513e-08,6.808924505700513e-08,0.0001414811393866,0.0013494340075113,0.0024255658189455,0.0024208000456018,0.0208937219452212,0.0002609391596847,0.0062845392198522,0.0034074754069842,0.0032001938127671,Infrastructure,2
ds-1191-T/Short/medium,toto_2.0_1b,2.464256643482562e-07,2.464256643482562e-07,0.0002622949890792,0.002823873681761,0.0044968103369077,0.0044748188190968,0.0333452079916988,0.000496412796318,0.0119557600707802,0.0063171940378233,0.0048718662118792,Infrastructure,2
ds-1191-T/Short/long,toto_2.0_1b,1.8495212131076388,1.8495212131076388,0.1076325239958586,1.7382187460889302,0.0082836027498598,0.0144957659399295,69.49636590669395,1.3599710339222812,9.169981023466535,0.7257420768023757,0.7256133529750453,Infrastructure,2
ds-1192-10S/Short/short,toto_2.0_1b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infrastructure,12
ds-1192-10S/Short/medium,toto_2.0_1b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infrastructure,12
ds-1192-10S/Short/long,toto_2.0_1b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infrastructure,12
ds-1193-10S/Short/short,toto_2.0_1b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infrastructure,3
ds-1193-10S/Short/medium,toto_2.0_1b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infrastructure,3
ds-1193-10S/Short/long,toto_2.0_1b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infrastructure,3
ds-1194-5T/Short/short,toto_2.0_1b,0.1358709441290961,0.1358709441290961,0.1327753490871853,0.2258900375283491,0.1900274912516276,0.1162914064318852,3.5817552522933953,0.3686067608293371,0.2973952457649763,0.1071243443404885,0.0930856538196729,Infrastructure,6
ds-1194-5T/Short/medium,toto_2.0_1b,1.0638725280761718,1.0638725280761718,0.567754660712348,1.060396692208142,1.870022922092014,0.4832030621075427,11.2607293492969,1.031441965442638,0.9536640301244512,0.5249419899494967,0.4402581001070601,Infrastructure,6
ds-1194-5T/Short/long,toto_2.0_1b,1.612598861882716,1.612598861882716,0.6968443317177855,1.2880310473408705,1.6204734519675923,0.6766023327943702,16.067589562356684,1.2698814361517048,1.231231227361998,0.6756351241901634,0.5986409831248936,Infrastructure,6
ds-1195-10S/Short/short,toto_2.0_1b,0.4287428156534831,0.4287428156534831,0.0614830907185872,0.4792030340155789,0.0236159918785696,0.2068094671872957,21.135194531143473,0.6547845566699654,0.4804535371108993,0.0451137219217352,0.0447544505134799,Infrastructure,32
ds-1195-10S/Short/medium,toto_2.0_1b,0.6307843695746528,0.6307843695746528,0.1242254299587673,0.8218893368809468,0.0533409397353019,0.2373560531722041,29.74240732145237,0.7942193460088043,0.5803643543046542,0.0907759447167116,0.0914752373491589,Infrastructure,32
