dataset,model,checkpoint,context_length,num_samples,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/MAAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ds-2330-H/Medium/medium,toto,ds-data-science-us1-prod/ray/foundation-models/TOTO/base-no-dual-softmax-no-tsmixup-1746214361/TorchTrainer_37d72_00000_0_2025-05-02_19-32-43/checkpoint_000026,2048,256,4634.640773809524,2.000590587797619,0.6004022507440476,4.0495632575422436,1.485904075985863,0.4309182303292411,0.7009241013299852,74.92462490827207,68.07819602346646,74.91421264096883,0.6606911538439089,0.586748770601161,['Application Usage'],7
ds-1157-T/Short/short,toto,ds-data-science-us1-prod/ray/foundation-models/TOTO/base-no-dual-softmax-no-tsmixup-1746214361/TorchTrainer_37d72_00000_0_2025-05-02_19-32-43/checkpoint_000026,2048,256,3.1105008443196613,0.47289841969807944,0.37593669891357423,0.36856689285421296,1.3904314676920573,0.6017298380533854,0.9431577682495117,3.684276453821193,1.7636612045173703,4.282872237565169,0.9129241187223636,0.8198471901177915,['Application Usage'],1
ds-2402-30T/Short/medium,toto,ds-data-science-us1-prod/ray/foundation-models/TOTO/base-no-dual-softmax-no-tsmixup-1746214361/TorchTrainer_37d72_00000_0_2025-05-02_19-32-43/checkpoint_000026,2048,256,7.184400770399305,1.2521634036804446e-07,0.00028064573804537454,0.0033769801865343087,0.006619016329447429,0.0066187116834852434,0.0065875656074947785,1.7429731755510534,2.6803732520675747,63.21647692718343,0.006619016515767896,0.019060110760148668,['Application Usage'],1
ds-2754-H/Medium/long,toto,ds-data-science-us1-prod/ray/foundation-models/TOTO/base-no-dual-softmax-no-tsmixup-1746214361/TorchTrainer_37d72_00000_0_2025-05-02_19-32-43/checkpoint_000026,2048,256,27.296687825520834,0.0009099445409244962,0.016691064834594725,0.2145143580132914,1.0798912896050348,0.5741566975911458,0.5707631005181206,5.943243387244398,5.2246232233071925,190.13506770228642,0.6074230823366542,0.5216276589642019,['Database'],1
ds-702-10S/Short/long,toto,ds-data-science-us1-prod/ray/foundation-models/TOTO/base-no-dual-softmax-no-tsmixup-1746214361/TorchTrainer_37d72_00000_0_2025-05-02_19-32-43/checkpoint_000026,2048,256,4962.302716049383,1.0478791714891975,0.6602029079861111,0.692956518122899,1.9391591917438271,0.6936913459683642,1.1258727575231482,7.330100537284991,70.44361373502485,94.99937968026492,0.8903414148755332,0.733930729091036,['Infrastructure'],9
ds-1130-T/Short/medium,toto,ds-data-science-us1-prod/ray/foundation-models/TOTO/base-no-dual-softmax-no-tsmixup-1746214361/TorchTrainer_37d72_00000_0_2025-05-02_19-32-43/checkpoint_000026,2048,256,0.015313756465911866,0.00021946501607696215,0.0073920498291651406,0.054913114404267285,0.034750743707021074,0.03369884490966797,0.03391206661860148,1.4416850718696685,0.12374876349245623,0.4965686148690701,0.02966219492718766,0.032899818952476324,['Application Usage'],1
ds-808-10S/Short/long,toto,ds-data-science-us1-prod/ray/foundation-models/TOTO/base-no-dual-softmax-no-tsmixup-1746214361/TorchTrainer_37d72_00000_0_2025-05-02_19-32-43/checkpoint_000026,2048,256,45.028277116402116,1.202659556878307,0.028918796115451388,0.5469061351944416,0.03201687282986111,0.02325833275204613,0.02877902560763889,23.540179308368863,6.7103112533176965,118.68918256846008,0.5115035863813129,0.5236377991302796,['Networking'],84
ds-1664-30T/Short/long,toto,ds-data-science-us1-prod/ray/foundation-models/TOTO/base-no-dual-softmax-no-tsmixup-1746214361/TorchTrainer_37d72_00000_0_2025-05-02_19-32-43/checkpoint_000026,2048,256,153.65620659722222,0.35034980773925783,0.21479178534613716,0.7266832390526853,1.218025631374783,0.351226446363661,0.5337571038140191,21.471092788423544,12.395814075615293,44.02612472336191,0.7628744569350298,0.8118450661066766,['Database'],1
ds-1858-H/Medium/short,toto,ds-data-science-us1-prod/ray/foundation-models/TOTO/base-no-dual-softmax-no-tsmixup-1746214361/TorchTrainer_37d72_00000_0_2025-05-02_19-32-43/checkpoint_000026,632,256,193.168701171875,189.68550618489584,6.060138702392578,8.673533958899952,1.1159773932562933,0.6767405403984917,1.2953294118245442,308.94894408395515,13.898514351249021,2.2118889335259397,0.964445076120656,0.9434406198380471,['Infrastructure'],3
ds-2220-30T/Short/medium,toto,ds-data-science-us1-prod/ray/foundation-models/TOTO/base-no-dual-softmax-no-tsmixup-1746214361/TorchTrainer_37d72_00000_0_2025-05-02_19-32-43/checkpoint_000026,853,256,23.735306803385416,0.06148524284362793,0.21182069778442383,0.38866334131668645,0.9497259775797526,0.492494010925293,0.7234505971272787,6.910408863911301,4.871889449011073,12.641621752761559,0.549634216626211,0.44340974785164167,['Networking'],1
ds-1207-10S/Short/long,toto,ds-data-science-us1-prod/ray/foundation-models/TOTO/base-no-dual-softmax-no-tsmixup-1746214361/TorchTrainer_37d72_00000_0_2025-05-02_19-32-43/checkpoint_000026,2048,256,107069.17333333334,4.1319904590232503e-07,0.0005617846382988824,0.0060901741245695355,0.012239710489908854,0.012238531112670899,0.012338290744357638,4.723311493331188,327.21426211785655,7129.079227247529,0.012239708529699722,0.039095742120285305,['Infrastructure'],1
ds-1315-10S/Short/medium,toto,ds-data-science-us1-prod/ray/foundation-models/TOTO/base-no-dual-softmax-no-tsmixup-1746214361/TorchTrainer_37d72_00000_0_2025-05-02_19-32-43/checkpoint_000026,2048,256,48.07036024305555,0.0981435309516059,0.03201042387220595,0.1428526676500935,0.2871053738064236,0.07571864657931858,0.10787975735134549,5.903700707261177,6.933279183983258,48.35062296595323,0.22323115722799886,0.21941826626266925,['Application Usage'],1
