dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates,dataset_size
ds-2152-H/Medium/short,chronos_2,1.0591035322709517,1.0591035322709517,0.4673538208007812,1.4018099662781187,4.085347493489583,1.3032641960714448,25.878322329569627,1.0291275587948034,2.0990978265429687,0.9532553871342558,0.8335813138966177,['Application Usage'],1,11
ds-2152-H/Medium/medium,chronos_2,0.8594893137613933,0.8594893137613933,0.4158493359883626,1.2788889566381578,4.005804951985677,1.072698150536613,28.11532444609508,0.927086465094488,2.3642248089651967,1.060485029123133,0.9710545877138094,['Application Usage'],1,2
ds-2152-H/Medium/long,chronos_2,1.0427840338812937,1.0427840338812937,0.4424440171983507,1.3373330358168465,3.303369140625,1.137911910350807,23.1825033518792,1.0211679753504286,2.4042268703518643,1.041685423409073,0.9097708280180504,['Application Usage'],1,1
ds-2153-D/Long/short,chronos_2,0.1236936966578165,0.1236936966578165,0.2704613367716471,0.8312954283175673,3.2278895060221355,1.414394774713735,5.8601362714998695,0.3517011467962773,1.56978791218113,1.2071809860273548,0.8433331507841698,['Application Usage'],1,1
ds-2154-D/Long/short,chronos_2,0.2401933828989664,0.2401933828989664,0.3346009890238444,0.7816348387753214,1.4623391469319662,1.1791819049310308,11.68914220646366,0.4900952794089803,1.3994232979583252,0.9554232395883095,0.9217965121229844,['Application Usage'],1,1
ds-2155-30T/Short/short,chronos_2,0.3432141621907552,0.3432141621907552,0.361878490447998,0.8498410123481163,10.875547281901042,1.0327040890296555,11.03465564849992,0.5858448277408919,1.6874482576663676,1.0423429537616216,0.8757304444357871,['Application Usage'],1,20
ds-2155-30T/Short/medium,chronos_2,0.4663813273111979,0.4663813273111979,0.4930370754665799,1.1502554367764188,3.09655999077691,1.5138393752665549,11.697566522792062,0.6829211721064137,1.7054704482094332,1.2312697225161326,1.116308306152535,['Application Usage'],1,3
ds-2155-30T/Short/long,chronos_2,0.5696224636501737,0.5696224636501737,0.5414982265896268,1.2739710405750688,7.668991427951389,1.3131455870688389,14.48172626472297,0.754733372556278,1.8848082556907508,1.3522925645399693,1.2516656249146676,['Application Usage'],1,2
ds-2156-H/Medium/short,chronos_2,0.2497516111894087,0.2497516111894087,0.3253098979140773,0.7286862071389446,3.0751504609079072,1.0015665439619046,6.419819623920333,0.4997515494617388,1.3765464032715178,0.8960535898379076,0.7739240455780094,['Application Usage'],1,11
ds-2156-H/Medium/medium,chronos_2,1.2151004791259763,1.2151004791259763,0.5966587066650391,1.5076756247164804,3.001112111409505,1.3253937149885524,18.903596886544165,1.1023159615672706,1.8468943147583012,0.999682134352776,0.8720158969824262,['Application Usage'],1,2
ds-2156-H/Medium/long,chronos_2,0.6634918212890625,0.6634918212890625,0.7132371690538194,1.5899353261504694,7.759202745225695,1.439734749366881,14.669707196128403,0.8145500729169831,2.009288533642814,1.759375283603662,1.4503697068648702,['Application Usage'],1,1
ds-2157-D/Long/short,chronos_2,3.083018211082176,3.083018211082176,1.1926495587384258,4.034970144237022,1.3763699001736112,1.5056919913962492,42.63930536421442,1.75585255960806,1.4368066124864758,0.9759400144377488,0.814061806192044,['Application Usage'],9,1
ds-2158-D/Long/short,chronos_2,1.7412239074707032,1.7412239074707032,1.1311203002929688,2.027950175435065,1.413327407836914,0.855285695966275,14.10451303848934,1.3195544352055746,0.7710115492662747,0.6609100707539582,0.5066992588019583,['Application Usage'],1,1
ds-2159-30T/Short/short,chronos_2,0.1814454555511474,0.1814454555511474,0.2929378827412923,0.6749720680524729,2.4866302490234373,0.8202174221489635,6.307690229435597,0.4259641481992909,0.9148924135317926,0.6291765344314495,0.5224844006317643,['Application Usage'],1,20
ds-2159-30T/Short/medium,chronos_2,0.5402496337890625,0.5402496337890625,0.6032044728597005,1.379951794543534,8.890132649739583,1.053718308092517,9.756688488411042,0.7350167574886048,1.388031112340429,1.1391122269006944,0.8548279862184321,['Application Usage'],1,3
ds-2159-30T/Short/long,chronos_2,0.6070730421278212,0.6070730421278212,0.601375495062934,1.3768001351534809,4.962633938259549,1.2455235677970788,10.121557735432834,0.7791489216624902,1.4713718202959456,1.1356583218572691,0.8409285404866047,['Application Usage'],1,2
ds-2160-D/Long/short,chronos_2,9.870590209960938,9.870590209960938,2.629217783610026,4.447723331028995,0.9732688903808594,1.8682373403184311,32.52182984348902,3.1417495460270124,1.183763676092572,0.9906494655851886,0.821486627325656,['Application Usage'],1,1
ds-2161-D/Long/short,chronos_2,12.838045247395833,12.838045247395833,2.625980122884114,7.444460939256444,1.0240015665690103,1.6993181880349453,97.24263680815936,3.5830218039241446,1.332518225661363,0.9765964499951528,0.8351468045352548,['Application Usage'],8,1
