dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates,dataset_size
ds-75-10S/Short/long,moirai_2_small,0.0991519906785753,0.0991519906785753,0.2403002251519097,0.3953060737210483,2.0420829264322915,1.0608143107096355,8.927675754366863,0.3148840908629321,1.0877090748710223,0.830072852759838,0.7573392605295787,['Application Usage'],1,2.0
ds-75-10S/Short/medium,moirai_2_small,0.0732162475585937,0.0732162475585937,0.2180450990464952,0.3613817510505986,2.121470065646702,1.0325632561577691,4.809934111363972,0.2705850098556713,0.9346860752688476,0.7531966311366753,0.637277344137334,['Application Usage'],1,3.0
ds-75-10S/Short/short,moirai_2_small,0.0367224115878343,0.0367224115878343,0.1310877474149068,0.221166074572095,0.9246782898902892,0.4130116299788157,1.706085204238658,0.1916309254474192,0.5443988262337964,0.3724034398920068,0.3014450034269271,['Application Usage'],1,20.0
ds-750-T/Short/long,moirai_2_small,0.0037433747892026,0.0037433747892026,0.0367335822847154,0.0794238739475258,0.821779872753002,0.2003391407154224,1.7372953380731984,0.0611831250362602,0.2924780443370876,0.1756001561175856,0.1526483136562691,"['Security', 'Application Usage']",1,3.0
ds-750-T/Short/medium,moirai_2_small,0.0041285797332723,0.0041285797332723,0.0383710945645968,0.0840919463532017,0.943329119682312,0.2114368398984273,1.465360443030536,0.0642540250355757,0.3123045238319301,0.1865014123281995,0.1591064430529936,"['Security', 'Application Usage']",1,4.0
ds-750-T/Short/short,moirai_2_small,0.0047574630628029,0.0047574630628029,0.041025864208738,0.0935611656966522,1.461213751633962,0.2368764892220497,0.8261017831815587,0.0689743652584273,0.3508636925051534,0.2086932754010969,0.1698989919287769,"['Security', 'Application Usage']",1,20.0
ds-751-T/Short/long,moirai_2_small,1.1446177164713542,1.1446177164713542,0.6086388481987848,0.9996777529613412,1.5896421926992912,0.9665817119457104,21.40401737223841,1.0698680836773076,1.702197450204318,0.9683656436766356,0.8728515136461515,['Application Usage'],1,3.0
ds-751-T/Short/medium,moirai_2_small,1.0762149572372437,1.0762149572372437,0.5530768513679505,0.904429538080447,1.784359081586202,0.8665339072545369,17.910285250837198,1.037407806620542,1.6670034408695342,0.8887353733138997,0.7987466907211348,['Application Usage'],1,4.0
ds-751-T/Short/short,moirai_2_small,0.9140593893826008,0.9140593893826008,0.4731269026796023,0.7649084091734769,1.7044422268867492,0.7371044983466466,6.592714238322778,0.9560645320178972,1.4510993581927691,0.7181043975902367,0.5811354334133856,['Application Usage'],1,20.0
ds-752-T/Short/long,moirai_2_small,1.0834613062226723,1.0834613062226723,0.3419151902689364,0.76026069843462,0.7771753884146734,0.7086086697048611,27.75598694702367,1.0408944741051671,2.4244486889469266,0.7963879676575247,0.7841763095098434,['Infrastructure'],9,3.0
ds-752-T/Short/medium,moirai_2_small,1.092105554651331,1.092105554651331,0.3384836479469582,0.7405156887729994,0.7845405437328198,0.6963609059651693,26.94472849876897,1.045038542184608,2.4401501980038396,0.7903545249462447,0.7773282740137234,['Infrastructure'],9,4.0
ds-752-T/Short/short,moirai_2_small,1.190708534805863,1.190708534805863,0.3254997871540211,0.6843808968202756,0.4959523059703685,0.6739877877412019,21.27645814853704,1.0911959195331804,2.5765421012694945,0.7685731687077603,0.7282115865136876,['Infrastructure'],9,20.0
ds-753-5T/Short/long,moirai_2_small,0.0238644720595559,0.0238644720595559,0.0680198151388286,0.3967300310690702,0.1450364995885778,0.1358552226313838,7.286205691147295,0.1544813000319326,0.3126343404528371,0.1376563379467667,0.1178900890724047,['Infrastructure'],3,3.0
ds-753-5T/Short/medium,moirai_2_small,0.0207646744118796,0.0207646744118796,0.0649555616908603,0.3809253725473777,0.13903931511773,0.1282164653142293,6.246290969876782,0.1440995295338595,0.2895124203450193,0.1305031455746177,0.1097688170726171,['Infrastructure'],3,4.0
ds-753-5T/Short/short,moirai_2_small,0.0255709765789409,0.0255709765789409,0.0695942234661844,0.4170836754037912,0.150683828526073,0.1386800431542926,5.161147041101516,0.1599092760878522,0.3221370660588084,0.1401974889169097,0.1150911717885947,['Infrastructure'],3,20.0
ds-754-5T/Short/long,moirai_2_small,0.000299670325694,0.000299670325694,0.001075509438912,0.007403837896627,0.0013291884627607,0.0014701113656715,0.2081540780760297,0.0173109885822278,0.0279266269400763,0.0017350453862504,0.0016206471560876,['Database'],1,3.0
ds-754-5T/Short/medium,moirai_2_small,1.4518934771482842e-07,1.4518934771482842e-07,0.0002697942778468,0.0019585730797416,0.0004328045508979,0.0004326212433322,0.022588562397421,0.0003810371999094,0.0006143155831621,0.0004349675810358,0.0003710318104387,['Database'],1,4.0
ds-754-5T/Short/short,moirai_2_small,4.569090380120618e-09,4.569090380120618e-09,5.980742474397023e-05,0.0004447001654462,9.586045295388128e-05,9.58546331579176e-05,0.0073111046674979,6.759504700879065e-05,0.0001083390206115,9.58572870171704e-05,9.635664661937376e-05,['Database'],1,20.0
ds-755-T/Short/long,moirai_2_small,1.239745556866681,1.239745556866681,0.775985915572555,0.8801539712269504,1.7772408379448783,1.3044983757866753,14.352628536936049,1.1134386183650544,1.4301006953804014,0.9966764033164396,0.8818966493852114,['Infrastructure'],2,3.0
ds-755-T/Short/medium,moirai_2_small,1.2762852986653646,1.2762852986653646,0.769049866994222,0.869015817086209,1.311598777770996,1.2571309407552085,11.8319354106604,1.129727975516834,1.4317512781190282,0.9746489012122712,0.8631638747285959,['Infrastructure'],2,4.0
ds-755-T/Short/short,moirai_2_small,1.4001081506411237,1.4001081506411237,0.7797477503617605,0.874445124604899,1.0807844281196597,1.258896807829539,6.638036192260361,1.183261657724581,1.4661121878480186,0.966141066761875,0.8299969118949265,['Infrastructure'],2,20.0
ds-756-10S/Short/long,moirai_2_small,0.0100725576612684,0.0100725576612684,0.0742515140109592,0.6679110288970497,1.1562453206380208,0.3469473605685764,9.79635192083104,0.1003621326062197,0.4052289469305902,0.2998029440916668,0.2514995214522877,['Infrastructure'],1,2.0
ds-756-10S/Short/medium,moirai_2_small,0.0092488282256656,0.0092488282256656,0.0728427675035264,0.6571552373920352,1.2516931491427952,0.3364366404215494,7.531876850690266,0.0961708283507302,0.3883058661657994,0.2941149038065451,0.2412964408740849,['Infrastructure'],1,3.0
ds-756-10S/Short/short,moirai_2_small,0.0087760322168469,0.0087760322168469,0.0691001013914744,0.6299077229434947,0.8654539243380228,0.3084509102503459,4.753614003760237,0.093680479379895,0.3649952491033607,0.2692258716799591,0.2164454627259334,['Infrastructure'],1,20.0
ds-757-10S/Short/long,moirai_2_small,5.578811590870221e-06,5.578811590870221e-06,0.0021613053480784,0.0134740522083223,0.0055984459982977,0.0055804469850328,0.1332265800563975,0.002361950801958,0.0061181794075406,0.0055984459384415,0.0047479347366713,['Infrastructure'],1,2.0
ds-757-10S/Short/medium,moirai_2_small,4.249660932045016e-06,4.249660932045016e-06,0.0018625322315427,0.0116574904515562,0.0048245315419303,0.0048109587033589,0.6418222988568454,0.0020614705751101,0.0053398429203259,0.0048245314148863,0.0059580684594309,['Infrastructure'],1,3.0
ds-757-10S/Short/short,moirai_2_small,7.492425243071921e-07,7.492425243071921e-07,0.0006921932349602,0.0044119977971131,0.001792993536219,0.0017905071160445,0.4338235550679594,0.0008655879645115,0.0022421390185153,0.0017929933456648,0.0022934948602895,['Infrastructure'],1,20.0
ds-758-5T/Short/long,moirai_2_small,0.260173260724103,0.260173260724103,0.3637445732399269,0.8714580822050471,1.537385400136312,1.1448248615971317,27.60565284697072,0.5100718191824589,0.8504869811278768,0.6065028734430268,0.5773481179215647,['Infrastructure'],1,3.0
ds-758-5T/Short/medium,moirai_2_small,0.1750446364283561,0.1750446364283561,0.2781144440174102,0.6682687707513373,0.7398734370867411,1.0427684624989828,16.30355687764183,0.4183833606016809,0.6477885878071976,0.4306083365259395,0.389406847707992,['Infrastructure'],1,4.0
ds-758-5T/Short/short,moirai_2_small,0.0486690886430248,0.0486690886430248,0.0805030118053158,0.1946800300890654,0.1014723257472117,0.0849331320884327,3.2443523916411228,0.2206107174255703,0.228759972567415,0.0834767548335065,0.0713773608361744,['Infrastructure'],1,20.0
ds-759-5T/Short/long,moirai_2_small,0.1049210398285477,0.1049210398285477,0.1402380696049443,0.2693998152517566,2.020968529030129,0.321837098510177,4.784130754706461,0.3239151738164603,0.630080369812244,0.2727913413791061,0.2386156651416108,['Infrastructure'],1,3.0
ds-759-5T/Short/medium,moirai_2_small,0.1062925820549329,0.1062925820549329,0.1174984723329544,0.2291372315644544,2.3892733196417493,0.2288039843241373,4.627313672358003,0.3260254316076169,0.629555506388418,0.2268896934962616,0.2029213701157788,['Infrastructure'],1,4.0
ds-759-5T/Short/short,moirai_2_small,0.0562996365606219,0.0562996365606219,0.0541309837872783,0.1084674068528752,0.1137088675207148,0.0886559834703803,2.3517225158118635,0.2372754444956788,0.4214017141992188,0.0961367469260589,0.0887469996857466,['Infrastructure'],1,20.0
