dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ds-2223-30T/Short/short,toto_2.0_4m,0.1368799562807436,0.1368799562807436,0.0504140942185013,0.1443877861457491,0.3544364858556676,0.0907450501538715,6.0222815016914115,0.3699729129013956,1.5600948674932107,0.2125852106923431,0.2200465836609285,Application Usage,1
ds-2223-30T/Short/medium,toto_2.0_4m,0.1835729598999023,0.1835729598999023,0.0782911856969197,0.2111929714977434,0.391701062520345,0.1782211412604987,6.02392311670884,0.4284541514560249,1.7216698725404471,0.314599765790088,0.3048517210096665,Application Usage,1
ds-2223-30T/Short/long,toto_2.0_4m,0.1467725118001302,0.1467725118001302,0.0822107738918728,0.2102071640565924,0.669816165500217,0.2871473340232627,9.5701541893048,0.3831090077251254,1.7684306663614322,0.3794848221371094,0.4311663914402387,Application Usage,1
ds-2224-30T/Short/short,toto_2.0_4m,0.6296077728271484,0.6296077728271484,0.1702314694722493,1.2005195894107366,0.3970155080159505,0.3615515229435349,24.95152571333327,0.7934782749559993,1.7233684066151174,0.369728504937843,0.320036135130382,Application Usage,1
ds-2224-30T/Short/medium,toto_2.0_4m,0.6808084699842665,0.6808084699842665,0.3817754957411024,2.7840273347323037,1.389283413357205,0.8448860891609226,94.32270019129147,0.8251111864374804,1.8895355424914169,0.8742801943696024,0.8405521875111783,Application Usage,1
ds-2224-30T/Short/long,toto_2.0_4m,0.5689038594563802,0.5689038594563802,0.2820589277479384,1.9620973711372167,1.287577141655816,0.5848408748827242,57.14776365954333,0.7542571573782911,1.7272771603040338,0.6459255162420842,0.5881393192014135,Application Usage,1
ds-2226-H/Medium/short,toto_2.0_4m,0.0344109246225068,0.0344109246225068,0.0389490163687503,0.2692441585562706,0.5029604362718987,0.1212082354662561,9.511021925632162,0.1855018183805938,0.8777690396198476,0.184301377693192,0.1984365223433077,Application Usage,1
ds-2226-H/Medium/medium,toto_2.0_4m,0.0257319549719492,0.0257319549719492,0.0346528053283691,0.2304557642424748,0.3239297866821289,0.1175380307855655,26.9902465114577,0.1604118292768624,0.7831017649438308,0.1691687772356512,0.3125611710593557,Application Usage,1
ds-2226-H/Medium/long,toto_2.0_4m,0.858564927842882,0.858564927842882,0.295369890001085,1.9592317871974507,1.7802993774414062,0.3855537586251616,19.592256785049635,0.926587787445357,4.411519297982737,1.406267152921728,1.154452658900511,Application Usage,1
ds-2227-30T/Short/short,toto_2.0_4m,0.0723553816477457,0.0723553816477457,0.0381835500399271,0.2777606813319542,0.0811179717381795,0.0874564971840606,10.572187229128,0.2689895567633542,1.3781862588035512,0.1956360113402538,0.1954996761406441,Application Usage,2
ds-2227-30T/Short/medium,toto_2.0_4m,0.063651794857449,0.063651794857449,0.0409226444032457,0.2938198433467813,0.1161879221598307,0.1204400715379006,10.983318433384817,0.2522930733441744,1.3581018480916187,0.2202879304459804,0.2180541839783517,Application Usage,2
ds-2227-30T/Short/long,toto_2.0_4m,0.0633561929066976,0.0633561929066976,0.0425265391667683,0.3004947959478657,0.1249601787990993,0.1292274900804784,9.55033146204062,0.251706561111739,1.3549446336019753,0.2289217483055499,0.220693483968285,Application Usage,2
ds-2228-H/Medium/short,toto_2.0_4m,0.9979801938484352,0.9979801938484352,0.1931889730207087,0.60733752306016,0.5117020553759221,0.2053035003830191,18.765619056212063,0.9989895864564532,2.0987736598702305,0.4058700245229417,0.3988424071897853,Application Usage,19
ds-2228-H/Medium/medium,toto_2.0_4m,0.9146270216557018,0.9146270216557018,0.2066066541169819,0.6578909242482198,0.4318815264785499,0.3464320039798235,21.53113679414628,0.9563613447100952,2.227608318899177,0.4812393390810116,0.4791402811699961,Application Usage,19
ds-2228-H/Medium/long,toto_2.0_4m,1.1485423662509138,1.1485423662509138,0.250028625845212,0.8239945323623756,0.5467150236430921,0.4970997825329007,24.661959780925113,1.0717006887423903,2.2744261456854313,0.5306254346626109,0.5156387032933414,Application Usage,19
ds-2231-30T/Short/short,toto_2.0_4m,0.2069261868794759,0.2069261868794759,0.2147142546517508,0.41572643513562,2.7124951680501304,0.4094735719762069,5.679205153220922,0.4548914011931594,0.5916584272594111,0.2792699485728198,0.2277083485956131,Application Usage,1
ds-2231-30T/Short/medium,toto_2.0_4m,0.37242431640625,0.37242431640625,0.5710187276204427,0.9890726845470662,1.222867202758789,1.1172670440189194,4.507208962269973,0.6102657752211327,0.7625695025110825,0.7135275886776513,0.4930314856240088,Application Usage,1
ds-2231-30T/Short/long,toto_2.0_4m,0.3607723659939236,0.3607723659939236,0.5378028021918403,0.9106197010408492,2.3578869289822046,1.3135297469205125,4.692036341623244,0.6006432934728595,0.9379025948883072,0.8397773673580889,0.6286815676524361,Application Usage,1
ds-2232-30T/Short/short,toto_2.0_4m,0.0614572167396545,0.0614572167396545,0.1192413647969563,0.2062572968392902,0.6883137385050456,0.3072106699048983,2.1326041342460957,0.2479056609673416,0.4567503056526287,0.2196945789980217,0.1826454944574805,Application Usage,1
ds-2232-30T/Short/medium,toto_2.0_4m,0.1991831885443793,0.1991831885443793,0.2053819868299696,0.3452746932200494,0.907090081108941,0.528350907585291,3.822410924300131,0.4462994382075551,0.8761055023117849,0.4031739082176081,0.3470003043650042,Application Usage,1
ds-2232-30T/Short/long,toto_2.0_4m,0.2206886927286784,0.2206886927286784,0.2891469955444335,0.4857532484656121,0.8099042256673177,0.7870956631062329,4.426584762569076,0.4697751512465069,0.9221893635120608,0.5676083187350762,0.4566329995778851,Application Usage,1
ds-2236-30T/Short/short,toto_2.0_4m,0.0730524539947509,0.0730524539947509,0.1317709763844808,0.2503184099015911,0.595613161722819,0.3711578709075229,3.0892363165067924,0.270282174763248,0.5626221910742428,0.2742958373720685,0.2331930301334363,Application Usage,1
ds-2236-30T/Short/medium,toto_2.0_4m,0.1375765800476074,0.1375765800476074,0.2019727494981553,0.3762968267704967,0.6888495127360026,0.493781894004294,5.5981176813042755,0.3709131704962867,0.7661342003049914,0.4171818183569157,0.354595815629303,Application Usage,1
ds-2236-30T/Short/long,toto_2.0_4m,0.1720161437988281,0.1720161437988281,0.2322794596354166,0.4275275453810817,0.8470896402994792,0.5416851917848804,3.5213023824098237,0.4147482896876467,0.8566771808683704,0.4797813941655033,0.3838134563903451,Application Usage,1
ds-2237-30T/Short/short,toto_2.0_4m,0.7021157300030744,0.7021157300030744,0.5301306689227069,0.8203670059153713,1.3488043325918693,0.552478924921631,5.5752826537610485,0.8379234630937806,0.7299766847681823,0.4618357704954554,0.3620160802765471,Application Usage,2
ds-2237-30T/Short/medium,toto_2.0_4m,0.7058443705240885,0.7058443705240885,0.5122481981913248,0.8266376360615381,1.141962432861328,0.5275530137820078,6.210110432369079,0.8401454460532941,0.7338533038480745,0.4474404216541823,0.3609259837189456,Application Usage,2
ds-2237-30T/Short/long,toto_2.0_4m,0.6736217922634549,0.6736217922634549,0.5061603122287326,0.8469231556593586,1.4570604112413197,0.515654133245261,6.240510678754446,0.8207446571641237,0.7472073916231814,0.4608092460210516,0.3675777741447697,Application Usage,2
ds-2240-30T/Short/short,toto_2.0_4m,0.3446698506673177,0.3446698506673177,0.2369057973225911,0.3808684387673697,4.120176188151041,0.8061801841351927,5.2561833102669215,0.5870858971797208,1.818008204964728,0.733617832424844,0.6351238418627466,Database,1
ds-2240-30T/Short/medium,toto_2.0_4m,0.9562304178873698,0.9562304178873698,0.4504177517361111,0.7338288976321454,5.014356146918403,1.4718682845634072,8.933925218185411,0.9778703481992742,2.0813759856962855,0.9587044885052676,0.827774233465941,Database,1
ds-2240-30T/Short/long,toto_2.0_4m,1.0348809136284722,1.0348809136284722,0.5397978040907118,0.8789864192342192,3.696691216362847,1.5892313487193788,10.762019527678314,1.0172909680265878,2.165281926397857,1.1489480058731056,0.985803707103646,Database,1
ds-2241-30T/Short/short,toto_2.0_4m,10.437012736002604,10.437012736002604,0.2031406084696451,1.1382658273651742,0.2163450400034586,0.1142964028208442,46.12288462719611,3.2306365837095643,11.13477298086054,0.7001482524865517,0.7137954223110112,Database,1
ds-2241-30T/Short/medium,toto_2.0_4m,6.959152560763889,6.959152560763889,0.1364192750718858,0.7531606602005552,0.1448410246107313,0.0800545263871175,29.868031886122218,2.6380205762586253,11.622702897266311,0.6010418257880688,0.5996422590495176,Database,1
ds-2241-30T/Short/long,toto_2.0_4m,6.959054904513889,6.959054904513889,0.1362675348917643,0.7344119676205785,0.1440345022413465,0.0784595241851479,28.71542687007638,2.6380020668138013,11.622621347569574,0.6003732824692629,0.5996018290961183,Database,1
ds-2242-30T/Short/short,toto_2.0_4m,10.437012736002604,10.437012736002604,0.2031406084696451,1.1382658273651742,0.2163450400034586,0.1142964028208442,46.12288462719611,3.2306365837095643,11.13477298086054,0.7001482524865517,0.7137954223110112,Database,1
ds-2242-30T/Short/medium,toto_2.0_4m,6.959152560763889,6.959152560763889,0.1364192750718858,0.7531606602005552,0.1448410246107313,0.0800545263871175,29.868031886122218,2.6380205762586253,11.622702897266311,0.6010418257880688,0.5996422590495176,Database,1
ds-2242-30T/Short/long,toto_2.0_4m,6.959054904513889,6.959054904513889,0.1362675348917643,0.7344119676205785,0.1440345022413465,0.0784595241851479,28.71542687007638,2.6380020668138013,11.622621347569574,0.6003732824692629,0.5996018290961183,Database,1
ds-2243-30T/Short/short,toto_2.0_4m,0.071198818730373,0.071198818730373,0.0311946775399002,0.5105490920173004,0.1397301636490167,0.1208298434330453,19.90964418101826,0.2668310677757989,4.415896518388914,0.5162534823585644,0.5156335701009942,Database,1
ds-2243-30T/Short/medium,toto_2.0_4m,0.0615927259127299,0.0615927259127299,0.0296925624211629,0.4752316186181508,0.1635945002237955,0.1509468262685899,18.17335342491127,0.2481788184207707,4.288749242783605,0.5131137113569626,0.5105739578544183,Database,1
ds-2243-30T/Short/long,toto_2.0_4m,0.04281853834788,0.04281853834788,0.0234096421135796,0.359700739433813,0.1861774656507704,0.1394956583751687,13.050535177695476,0.2069264080485621,3.994617230166525,0.4519121586307694,0.4626965643836242,Database,1
ds-2248-H/Medium/short,toto_2.0_4m,0.0612002719532359,0.0612002719532359,0.0950147455388849,0.5094048074745458,1.3360299775094695,0.4381987779144396,6.480399582450306,0.2473868871893495,1.214506469587706,0.4664597403454187,0.3883673060221346,"Infrastructure, Application Usage",1
ds-2248-H/Medium/medium,toto_2.0_4m,0.0546607613563537,0.0546607613563537,0.0734830061594645,0.3747960038285792,0.8686017990112305,0.3008785128231696,25.6302501856888,0.2337964100587384,1.3183058826736218,0.4143480187408605,0.7112609997915066,"Infrastructure, Application Usage",1
