dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,eval_metrics/MAAPE[0.5],domain,num_variates
ds-1215-T/Short/short,naive,3.1197379181350486,3.1197379181350486,0.5671682883000029,0.8552659328909562,5.362966167062953,0.9101791381835938,10.642393555021114,1.7662779843883716,2.59831288828118,0.8343424343957844,0.777549751253067,0.6282740717348845,Infrastructure,92
ds-1215-T/Short/medium,naive,3.842431286798007,3.842431286798007,0.5820531430451766,0.8983362210019634,6.241186169610507,0.9153732520946558,13.707750814652297,1.9602120514878,2.871246016081679,0.8525698874506102,0.7985742765050285,0.6388233129528985,Infrastructure,92
ds-1215-T/Short/long,naive,3.4618955062399355,3.4618955062399355,0.5573364847524155,0.858115299755585,5.866237042069243,0.8945943098329308,13.486080647471296,1.8606169692443244,2.7849316914229707,0.8342093320817496,0.7839837153451695,0.6277872131642512,Infrastructure,92
ds-1216-10S/Short/short,naive,1.3459903971354166,1.3459903971354166,0.8408495076497395,1.1314449897440753,37.529241536458336,1.2383148193359377,8.123703191191789,1.1601682624237817,1.7887801799114456,1.2964455090590483,1.0635640665273045,0.8390137227376302,Infrastructure,1
ds-1216-10S/Short/medium,naive,1.4060218641493056,1.4060218641493056,0.8586550564236111,1.1606418998155348,31.136369357638888,1.1900687662760416,9.075895095309818,1.1857579281410289,1.6717459295587576,1.210578534964255,1.0040499851199427,0.8106694878472223,Infrastructure,1
ds-1216-10S/Short/long,naive,1.4114594184027778,1.4114594184027778,0.8616819932725694,1.1654536384209098,72.0830251736111,1.1622356499565971,9.74190648747925,1.1880485757757455,1.6749754090068898,1.2148460749369463,1.030843347777073,0.8123715549045138,Infrastructure,1
ds-1217-T/Short/short,naive,0.0230621397495269,0.0230621397495269,0.1331940015157063,0.3785224759106652,0.0990911960601806,0.1057619492212931,1.7316913826810847,0.1518622393800611,0.1148002237383176,0.1006879737650735,0.0736764319249227,0.0984991709391276,Infrastructure,1
ds-1217-T/Short/medium,naive,0.0184410651524861,0.0184410651524861,0.116123612721761,0.3197459926224654,0.0906311353047688,0.096350606282552,1.5987628383133603,0.1357978834609957,0.1082387754976673,0.0925572426243218,0.0689947566752691,0.090131934483846,Infrastructure,1
ds-1217-T/Short/long,naive,0.0185553391774495,0.0185553391774495,0.1166536543104383,0.3170282786341666,0.0915653511329933,0.0974004180343062,1.7067631328422403,0.1362179840456081,0.1091020241350197,0.0934322284769273,0.0700573267599035,0.0910528182983398,Infrastructure,1
ds-1218-T/Short/short,naive,2.375573221842448,2.375573221842448,1.469915262858073,1.8223638006034728,4.0728398640950525,1.4427014668782552,8.66944150390251,1.5412894672456725,1.6801418586290815,1.602337662229653,1.0901867650885135,1.0616881052652996,Infrastructure,1
ds-1218-T/Short/medium,naive,2.0345653533935546,2.0345653533935546,1.2525497436523438,1.60911664286551,2.3343666076660154,1.243688456217448,9.018930698825296,1.4263819100765245,1.063274613753035,0.933694079741209,0.7181050416720242,0.7689779917399089,Infrastructure,1
ds-1218-T/Short/long,naive,2.241833722149884,2.241833722149884,1.307568359375,1.7035247308680177,4.639414695457176,1.2629738136574074,8.665545164718187,1.4972754329614455,1.181507947150897,1.031809094061589,0.7868462814708436,0.8148861355251736,Infrastructure,1
ds-1219-5T/Short/short,naive,74.10809733072917,74.10809733072917,5.932430521647135,5.464259184406165,3.564253234863281,0.7829832712809245,44.19253098404077,8.608606003920098,0.9749526983644168,0.6718670993080081,0.6019933930625728,0.4985302925109863,Infrastructure,1
